team_code,player_name,position,club,club_country
ARU-M,Bradley Martis,DEF,IJsselmeervogels,NLD
ARU-M,Darryl Bäly,DEF,Lisse,NLD
ARU-M,Diederick Luydens,DEF,Dakota,ABW
ARU-M,Gladwin Curiel,DEF,FC Prishtina,XKX
ARU-M,Kymani Nedd,DEF,VV Zwaluwen,NLD
ARU-M,Nickenson Paul,DEF,Dakota,ABW
ARU-M,Rainey Breinburg,DEF,Excelsior U21,NLD
ARU-M,Rovien Ostiana,DEF,TOGB,NLD
ARU-M,Arenchelo Leito,FWD,RKAV Volendam,NLD
ARU-M,Carlito Fermina,FWD,Kozakken Boys,NLD
ARU-M,Gello Robertha,FWD,IJsselmeervogels,NLD
ARU-M,Javier Jiménez,FWD,Schwarz-Weiß Rehden,DEU
ARU-M,Jayden Kruydenhof,FWD,Cambuur,NLD
ARU-M,Mishawn Molina,FWD,Willem II U21,NLD
ARU-M,Jahmani Eisden,GK,Sportlust '46,NLD
ARU-M,Josthan Maduro,GK,SV Britannia,ABW
ARU-M,Matthew Lentink,GK,Goes,NLD
ARU-M,Conner van Kilsdonk,MID,TOP Oss,NLD
ARU-M,Dimaggio Senchi,MID,AFC '34,NLD
ARU-M,Gianni Vandepitte,MID,Kloetinge,NLD
ARU-M,Jaybrien Romano,MID,Halsteren,NLD
ARU-M,Quinlan Poulina,MID,Lisse,NLD
ARU-M,Walter Bennett,MID,SC Feyenoord,NLD
ARU-W,Dyviënne Henriquez,DEF,unknown,X
ARU-W,Genesis Hazel,DEF,Excelsior Rotterdam,NLD
ARU-W,Jayla Croes,DEF,FC Skillz,NLD
ARU-W,Joya Tromp,DEF,unknown,X
ARU-W,Joyce Chen,DEF,SV Racing Club,ABW
ARU-W,Michaela Netto,DEF,FC Utrecht,NLD
ARU-W,Sofia Mora,DEF,SV Bubali,ABW
ARU-W,Bonny Lammers,FWD,De Graafschap,NLD
ARU-W,Jill Dreischor,FWD,VV Nieuwenhoorn,NLD
ARU-W,Vanessa Susanna,FWD,ADO Den Haag,NLD
ARU-W,Zyana Rogers,FWD,SV Britannia,ABW
ARU-W,Dylana Veenstra,GK,SV Britannia,ABW
ARU-W,Hadassah Kock,GK,Sparta Rotterdam,NLD
ARU-W,Richdienne Croes,GK,Forum Sport,NLD
ARU-W,Adannayah Breinburg,MID,Excelsior Rotterdam,NLD
ARU-W,Aisse Gumbs,MID,Panathinaikos,GRC
ARU-W,Delilah Croes,MID,FC Skillz,NLD
ARU-W,Izaline Angela,MID,FC Rijnvogels,NLD
ARU-W,Jennifer Henao,MID,SV Britannia,ABW
ARU-W,Kim Schoppema,MID,SV Britannia,ABW
ARU-W,Niamh Tromp,MID,NEC Nijmegen,NLD
ARU-W,Soraya Verhoeve(Captain),MID,FC Utrecht,NLD
ARU-W,Tarianna Doornkamp,MID,FC Rijnvogels,NLD
CUW-M,Armando Obispo,DEF,PSV,NLD
CUW-M,Deveron Fonville,DEF,NEC,NLD
CUW-M,Joshua Brenet,DEF,Kayserispor,TUR
CUW-M,Juriën Gaari,DEF,Abha,SAU
CUW-M,Riechedly Bazoer,DEF,Konyaspor,TUR
CUW-M,Roshon van Eijma,DEF,A.E. Kifisia,GRC
CUW-M,Sherel Floranus,DEF,PEC Zwolle,NLD
CUW-M,Shurandy Sambo,DEF,Sparta Rotterdam,NLD
CUW-M,Brandley Kuwas,FWD,Volendam,NLD
CUW-M,Gervane Kastaneer,FWD,Terengganu,MYS
CUW-M,Jearl Margaritha,FWD,Beveren,BEL
CUW-M,Jeremy Antonisse,FWD,A.E. Kifisia,GRC
CUW-M,Jürgen Locadia,FWD,Miami FC,USA
CUW-M,Kenji Gorré,FWD,Maccabi Haifa,ISR
CUW-M,Sontje Hansen,FWD,Middlesbrough,GBR
CUW-M,Tahith Chong,FWD,Sheffield United,GBR
CUW-M,Eloy Room,GK,Miami FC,USA
CUW-M,Trevor Doornbusch,GK,VVV-Venlo,NLD
CUW-M,Tyrick Bodak,GK,Vitesse,NLD
CUW-M,Ar'jany Martha,MID,Rotherham United,GBR
CUW-M,Godfried Roemeratoe,MID,RKC Waalwijk,NLD
CUW-M,Juninho Bacuna,MID,Volendam,NLD
CUW-M,Kevin Felida,MID,Den Bosch,NLD
CUW-M,Leandro Bacuna (captain),MID,Iğdır,TUR
CUW-M,Livano Comenencia,MID,Zürich,CHE
CUW-M,Tyrese Noslin,MID,Barnsley,GBR
CUW-W,Charnainelys Andrea,DEF,Excellence,CUW
CUW-W,Diangely's Strijdhaftig,DEF,FC Skillz,NLD
CUW-W,Ignarda Pieternella,DEF,Victory Boys,CUW
CUW-W,Ludmarie Flaneur,DEF,BVV Barendrecht,NLD
CUW-W,Naychelene Nisia,DEF,Excelsior,NLD
CUW-W,Rozan Snoek,DEF,RKSV HBC,NLD
CUW-W,Ruwenna Cristina,DEF,UNDEBA,CUW
CUW-W,Chelsea Kenton,FWD,WV-HEDW,NLD
CUW-W,Destiny Koko,FWD,De Graafschap,NLD
CUW-W,Gervionna Martina,FWD,Victory Boys,CUW
CUW-W,Kadisha Martina (captain),FWD,Cumberland Phoenix,USA
CUW-W,Raëngelly Keller,FWD,Be Quick '28,NLD
CUW-W,Shi-jona Martina,FWD,Excelsior,NLD
CUW-W,Taïsha Hansen,FWD,Be Quick '28,NLD
CUW-W,Kingnaichely Provence,GK,Jong Holland,CUW
CUW-W,Thiheyna Susana,GK,Undeba,CUW
CUW-W,Akisha Lohman,MID,Be Quick '28,NLD
CUW-W,Jeleaugh Rosa,MID,Acharnaikos Women Football Club,GRC
CUW-W,Kyara Bernadina,MID,FC Skillz [nl],NLD
CUW-W,Lindsey Hart,MID,Excelsior Maassluis,NLD
CUW-W,Riesmarly Tokaay,MID,Victory Boys,CUW
CUW-W,Shermilyene Leito,MID,MSV Duisburg,DEU
