country,iso3,diaspora_1990,diaspora_2010,diaspora_2024,growth_1990_2024
Afghanistan,AFG,7477104,5074825,7528994,1.0069398526488331
Albania,ALB,178747,962514,1216628,6.806424723212138
Algeria,DZA,1458505,1604582,1780399,1.2207013345857574
American Samoa*,ASM,1085,2341,3362,3.0986175115207373
Andorra,AND,143,1213,1982,13.86013986013986
Angola,AGO,799084,579968,616967,0.7720927962517082
Anguilla*,AIA,2262,1719,1614,0.713527851458886
Antigua and Barbuda,ATG,7368,8143,13111,1.7794516829533116
Argentina,ARG,406466,877341,1183381,2.911389882548602
Armenia,ARM,813557,799328,637604,0.7837238202117368
Aruba*,ABW,4564,7117,29305,6.420902716914987
Australia*,AUS,250909,362178,430718,1.7166303321124392
Austria,AUT,433951,409023,430560,0.992185753691085
Azerbaijan,AZE,1334492,1050055,810116,0.6070594653246328
Bahamas,BHS,2074,1867,2174,1.0482160077145612
Bahrain,BHR,11251,42283,57160,5.0804372944627145
Bangladesh,BGD,5076540,6221642,8706947,1.7151341267871425
Barbados,BRB,20659,20844,19558,0.9467060361101699
Belarus,BLR,1768067,1310899,790232,0.44694686343899864
Belgium,BEL,312709,405732,521884,1.668912631232232
Belize,BLZ,3528,5247,7383,2.0926870748299318
Benin,BEN,226170,533981,726530,3.2123181677499226
Bermuda*,BMU,433,748,1100,2.540415704387991
Bhutan,BTN,27169,88335,66145,2.434576171371784
Bolivia (Plurinational State of),BOL,199843,648912,783473,3.9204425473997087
"Bonaire, Sint Eustatius and Saba*",BES,2852,2883,4744,1.6633941093969145
Bosnia and Herzegovina,BIH,1108999,1481062,1608324,1.4502483771401056
Botswana,BWA,23982,19869,16731,0.6976482361771329
Brazil,BRA,446721,1365997,2194325,4.9120703974068824
British Virgin Islands*,VGB,3832,4534,6185,1.6140396659707725
Brunei Darussalam,BRN,31408,45555,46552,1.4821701477330615
Bulgaria,BGR,597707,926056,1252234,2.095063300245773
Burkina Faso,BFA,1015890,1601296,2050050,2.017984230576145
Burundi,BDI,342568,290788,576530,1.6829651339296139
Cabo Verde,CPV,51800,99281,146396,2.8261776061776063
Cambodia,KHM,261096,613439,778793,2.9827841100591352
Cameroon,CMR,92391,214405,409677,4.434165665486898
Canada,CAN,1114493,1255259,1347381,1.2089631787727693
Cayman Islands*,CYM,125,248,609,4.872
Central African Republic,CAF,37143,228473,905808,24.387044665212827
Chad,TCD,329970,191459,292298,0.885832045337455
Chile,CHL,390979,435797,444451,1.1367643786494928
China,CHN,3990935,8773150,11701619,2.932049507195682
"China, Hong Kong SAR",HKG,569282,903793,1240250,2.1786214916333204
"China, Macao SAR",MAC,73961,101050,149247,2.0179148470139667
"China, Taiwan Province of China",TWN,388755,723110,832507,2.141469563092436
Colombia,COL,1000769,2558298,3652238,3.649431587109513
Comoros,COM,32522,111510,367574,11.302318430600824
Congo,COG,64367,169150,231080,3.5900383737008092
Cook Islands*,COK,17630,20294,20288,1.1507657402155418
Costa Rica,CRI,22922,34241,50982,2.224151470203298
Croatia,HRV,840829,847561,826166,0.9825612579965725
Cuba,CUB,839585,1337631,1879613,2.2387405682569366
Curaçao*,CUW,3029,5354,10103,3.335424232419941
Cyprus,CYP,87065,68736,80760,0.9275828404065928
Czechia,CZE,532885,660378,583214,1.0944462688947896
Côte d'Ivoire,CIV,353717,902169,1211422,3.4248339774452456
Dem. People's Republic of Korea,PRK,31450,49563,46379,1.474689984101749
Democratic Republic of the Congo,COD,393133,1242847,2097387,5.335057092637861
Denmark*,DNK,124563,124567,124665,1.0008188627441537
