country,iso3,rank,points,population,diaspora,diaspora_per_capita,log_population,small_state
France,FRA,1,1877.32,68551653,2547158,0.03715676994688954,18.043098077467423,FALSE
Spain,ESP,2,1876.4,48848840,1623550,0.03323620376655822,17.7042411900094,FALSE
Argentina,ARG,3,1874.81,45696159,1183381,0.0258967279941406,17.637524804192147,FALSE
England,ENG,4,1825.97,57106400,NA,NA,17.860426752408337,FALSE
Portugal,PRT,5,1763.83,10694681,1799179,0.16823119829380606,16.185257073031835,FALSE
Brazil,BRA,6,1761.16,211998573,2194325,0.01035065929429628,19.172090101481558,FALSE
Netherlands,NLD,7,1757.87,17993485,631391,0.03508997840051552,16.705520305898293,FALSE
Morocco,MAR,8,1755.87,38081173,3627829,0.09526568417417185,17.455230570984448,FALSE
Belgium,BEL,9,1734.71,11858610,521884,0.04400886781840367,16.288564743990783,FALSE
Germany,DEU,10,1730.37,83516593,4297233,0.05145364346938817,18.24055588864204,FALSE
Croatia,HRV,11,1717.07,3866200,826166,0.21368941079095752,15.167782670469729,FALSE
Italy,ITA,12,1700.37,58952704,2941444,0.04989498022007608,17.892246053276516,FALSE
Colombia,COL,13,1693.09,52886363,3652238,0.06905821827831118,17.783656075315644,FALSE
Senegal,SEN,14,1688.99,18501984,741357,0.04006905421602353,16.733388527541653,FALSE
Mexico,MEX,15,1681.03,130861007,11596529,0.08861714628254388,18.689646302623085,FALSE
USA,USA,16,1673.13,340110988,3186999,0.00937046761923493,19.64478255760019,FALSE
Uruguay,URY,17,1673.07,3386588,263285,0.07774343970982003,15.03533348283026,FALSE
Japan,JPN,18,1660.43,123975371,1008173,0.00813204261352845,18.635593482873812,FALSE
Switzerland,CHE,19,1649.4,9005582,512547,0.05691436711142045,16.013355165264404,FALSE
Denmark,DNK,20,1620.81,5976992,124665,0.02085748148901655,15.603427989341384,FALSE
IR Iran,IRN,21,1615.3,91567738,1733468,0.01893099073824451,18.33258956236535,FALSE
Türkiye,TUR,22,1599.04,85518661,3130337,0.03660413953394335,18.26424516740227,FALSE
Ecuador,ECU,23,1594.78,18135478,1243065,0.0685432719225818,16.713380688223296,FALSE
Austria,AUT,24,1593.45,9177982,430560,0.04691227330801041,16.0323179127234,FALSE
Korea Republic,KOR,25,1588.66,51751065,2030473,0.03923538578384812,17.761955569608137,FALSE
Nigeria,NGA,26,1585.09,232679478,2094265,0.00900064336572046,19.265172433579874,FALSE
Australia,AUS,27,1580.67,27196812,430718,0.01583707678679398,17.118610318514726,FALSE
Algeria,DZA,28,1564.26,46814308,1780399,0.03803108656438967,17.66169944065878,FALSE
Egypt,EGY,29,1563.24,116538258,4820002,0.0413598253716818,18.57373017191003,FALSE
Canada,CAN,30,1556.48,41288599,1347381,0.03263324580230974,17.53609696655278,FALSE
Norway,NOR,31,1550.94,5572279,120891,0.02169507305718181,15.533314684415792,FALSE
Ukraine,UKR,32,1546.88,37860221,9769216,0.2580337816834191,17.44941154102371,FALSE
Panama,PAN,33,1540.64,4515577,194816,0.0431431021993424,15.323043532902753,FALSE
Côte d'Ivoire,CIV,34,1532.98,31934230,1211422,0.03793490558563648,17.279189033210702,FALSE
Poland,POL,35,1528,36559233,4572613,0.12507409550960766,17.414444325117902,FALSE
