team_code,player_name,position,club,club_country,league_tier,confidence
ARU-M,Bradley Martis,DEF,IJsselmeervogels,NLD,3,H
ARU-M,Darryl Bäly,DEF,OFC Oostzaan,NLD,3,H
ARU-M,Diederick Luydens,DEF,Jong Sparta Rotterdam,NLD,R,H
ARU-M,Gladwin Curiel,DEF,Aruba (local club),ABW,L,H
ARU-M,Jeremy Trimon,DEF,Aruba (local club),ABW,L,H
ARU-M,Kymani Nedd,DEF,Aruba (local club),ABW,L,H
ARU-M,Nickenson Paul,DEF,Aruba (local club),ABW,L,H
ARU-M,Rainey Breinburg,DEF,Feyenoord U19,NLD,Y,H
ARU-M,Carlito Fermina,FWD,Kozakken Boys,NLD,3,H
ARU-M,Conner van Kilsdonk,FWD,TOP Oss,NLD,2,H
ARU-M,Gello Robertha,FWD,IJsselmeervogels,NLD,3,H
ARU-M,Javier Jiménez,FWD,Aruba (local club),ABW,L,H
ARU-M,Jayden Kruydenhof,FWD,Aruba (local club),ABW,L,H
ARU-M,Jahmani Eisden,GK,Aruba (local club),ABW,L,H
ARU-M,Josthan Maduro,GK,Aruba (local club),ABW,L,H
ARU-M,Matthew Lentink,GK,Roosendaal,NLD,3,H
ARU-M,Shafeeq Toussaint,GK,FC Den Bosch,NLD,2,H
ARU-M,Arenchelo Leito,MID,RKAV Volendam,NLD,3,H
ARU-M,Dimaggio Senchi,MID,Aruba (local club),ABW,L,H
ARU-M,Gianni Vandepitte,MID,Aruba (local club),ABW,L,H
ARU-M,Jaybriën Romano,MID,Aruba (local club),ABW,L,H
ARU-M,Jayden Ngadiman,MID,Aruba (local club),ABW,L,H
ARU-M,Mishawn Molina,MID,Aruba (local club),ABW,L,H
ARU-M,Quinlan Poulina,MID,Katwijk,NLD,3,H
ARU-M,Roviën Ostiana,MID,Jong FC Volendam,NLD,R,H
ARU-M,Walter Bennett,MID,Aruba (local club),ABW,L,H
ARU-W,Dyviënne Henriquez,DEF,unknown,X,X,U
ARU-W,Genesis Hazel,DEF,Excelsior Rotterdam (youth),NLD,Y,M
ARU-W,Jayla Croes,DEF,FC Skillz,NLD,3,H
ARU-W,Joya Tromp,DEF,SV Deportivo Nacional,ABW,L,M
ARU-W,Joyce Chen,DEF,SV Racing Club Aruba,ABW,L,H
ARU-W,Michaela Netto,DEF,Jong FC Utrecht,NLD,R,M
ARU-W,Sofia Mora,DEF,SV Bubali,ABW,L,H
ARU-W,Bonny Lammers Solognier,FWD,De Graafschap,NLD,2,H
ARU-W,Jill Dreischor,FWD,VV Nieuwenhoorn,NLD,3,M
ARU-W,Vanessa Susanna,FWD,ADO Den Haag,NLD,1,H
ARU-W,Zyana Rogers,FWD,SV Britannia,ABW,L,M
ARU-W,Dylana Veenstra,GK,SV Britannia,ABW,L,H
ARU-W,Hadassah Kock,GK,Sparta Rotterdam,NLD,2,M
ARU-W,Richdienne Croes,GK,Forum Sport,NLD,3,M
ARU-W,Adannayah Breinburg,MID,Excelsior Rotterdam (MO17 youth),NLD,Y,H
ARU-W,Aisse Gumbs,MID,AA Gent,BEL,1,H
ARU-W,Delilah Croes,MID,FC Skillz,NLD,3,H
ARU-W,Izaline Angela,MID,FC Rijnvogels,NLD,3,H
ARU-W,Jennifer Henao Garces,MID,SV Britannia,ABW,L,H
ARU-W,Kim Schoppema,MID,SV Britannia,ABW,L,H
ARU-W,Niamh Tromp,MID,NEC Nijmegen (youth),NLD,Y,M
ARU-W,Soraya Verhoeve,MID,FC Utrecht,NLD,1,H
ARU-W,Tarianna Doornkamp,MID,FC Rijnvogels,NLD,3,H
CUW-M,ArJany Martha,DEF,unknown,X,X,L
CUW-M,Armando Obispo,DEF,PSV Eindhoven,NLD,1,H
CUW-M,Cuco Martina,DEF,unknown,X,X,L
CUW-M,Deveron Fonville,DEF,NEC Nijmegen,NLD,1,H
CUW-M,Joshua Brenet,DEF,Kayserispor,TUR,1,H
CUW-M,Juriën Gaari,DEF,Abha,SAU,1,H
CUW-M,Riechedly Bazoer,DEF,Konyaspor,TUR,1,H
CUW-M,Roshon van Eijma,DEF,RKC Waalwijk,NLD,1,H
CUW-M,Sherel Floranus,DEF,PEC Zwolle,NLD,1,H
CUW-M,Shurandy Sambo,DEF,Sparta Rotterdam,NLD,1,H
CUW-M,Tyrique Mercera,DEF,unknown,X,X,L
CUW-M,Gervane Kastaneer,FWD,Terengganu,MYS,1,H
CUW-M,Jeremy Antonisse,FWD,Kifisia,GRC,1,H
CUW-M,Joshua Zimmerman,FWD,unknown,X,X,L
CUW-M,Jürgen Locadia,FWD,Miami FC,USA,2,H
CUW-M,Rangelo Janga,FWD,unknown/free agent,X,X,L
CUW-M,Sontje Hansen,FWD,Middlesbrough,GBR,2,H
CUW-M,Eloy Room,GK,Miami FC,USA,2,H
CUW-M,Trevor Doornbusch,GK,VVV-Venlo,NLD,2,H
CUW-M,Tyrick Bodak,GK,Telstar,NLD,2,H
CUW-M,Brandley Kuwas,MID,unknown,X,X,L
CUW-M,Godfried Roemeratoe,MID,RKC Waalwijk,NLD,1,H
CUW-M,Jearl Margaritha,MID,unknown,X,X,L
CUW-M,Jordi Paulina,MID,Fortuna Düsseldorf,DEU,2,H
CUW-M,Juninho Bacuna,MID,FC Volendam,NLD,2,H
CUW-M,Kenji Gorré,MID,unknown,X,X,L
CUW-M,Kevin Felida,MID,FC Den Bosch,NLD,2,H
CUW-M,Leandro Bacuna,MID,Iğdır FK,TUR,2,H
CUW-M,Livano Comenencia,MID,FC Zürich,CHE,1,H
CUW-M,Rayvien Rosario,MID,unknown,X,X,L
CUW-M,Tahith Chong,MID,Sheffield United,GBR,2,H
CUW-M,Tyrese Noslin,MID,Telstar,NLD,2,H
CUW-W,Akisha Lohman,X,Be Quick '28,NLD,3,H
CUW-W,Charnainelys Andrea,X,Excellence,CUW,L,H
CUW-W,Chelsea Kenton,X,WHC Hedw,NLD,3,H
CUW-W,Destiny Koko,X,De Graafschap,NLD,3,H
CUW-W,Diangely's Strijdhaftig,X,FC Skillz,CUW,L,H
CUW-W,Gervionna Martina,X,Victory Boys,CUW,L,H
CUW-W,Ignarda Pieternella,X,Victory Boys,CUW,L,H
CUW-W,Jeleaugh Rosa,X,Acharnaikos,GRC,1,H
CUW-W,Kadisha Martina,X,Cumberland University,USA,3,H
CUW-W,Kingnaichely Provence,X,Jong Holland,CUW,L,H
CUW-W,Kyara Bernadina,X,FC Skillz,CUW,L,H
CUW-W,Lindsey Hart,X,Excelsior Maassluis,NLD,3,H
CUW-W,Ludmarie Flaneur,X,BVV Barendrecht,NLD,3,H
CUW-W,Naychelene Nisia,X,Sparta Rotterdam,NLD,1,H
CUW-W,Raëngelly Keller,X,Be Quick '28,NLD,3,H
CUW-W,Riesmarly Tokaay,X,Victory Boys,CUW,L,H
CUW-W,Rozan Snoek,X,HBC,NLD,3,M
CUW-W,Ruwenna Cristina,X,UNDEBA,CUW,L,H
CUW-W,Shermilyene Leito,X,MSV Duisburg,DEU,2,M
CUW-W,Shi-Jona Martina,X,Excelsior Rotterdam,NLD,1,H
CUW-W,Taïsha Hansen,X,Be Quick '28,NLD,3,H
CUW-W,Thiheyna Susana,X,Excellence,CUW,L,H
